name,value,n,pct
BMI_cat_condensed,Normal Weight,56,48.69565217
BMI_cat_condensed,Not Reported,3,2.608695652
BMI_cat_condensed,Obese,31,26.95652174
BMI_cat_condensed,Overweight,24,20.86956522
BMI_cat_condensed,Underweight,1,0.869565217
Misalignment_lb_5,Aligned,37,32.17391304
Misalignment_lb_5,Overestimated,19,16.52173913
Misalignment_lb_5,Underestimated,59,51.30434783
Race_condensed,Not White or Caucasian,25,21.73913043
Race_condensed,White or Caucasian,90,78.26086957
ed_history_cat,No,111,96.52173913
ed_history_cat,Yes,4,3.47826087
ed_type,Anorexia Nervosa,3,2.608695652
ed_type,Binge Eating Disorder,1,0.869565217
ed_type,Not Reported,111,96.52173913
income_cat_condensed,"100,000 or less",36,31.30434783
income_cat_condensed,"100,000 to 149,999",35,30.43478261
income_cat_condensed,"150,000 or more",38,33.04347826
income_cat_condensed,Prefer not to say,6,5.217391304
marital_status,1,111,96.52173913
marital_status,5,1,0.869565217
marital_status,Single,3,2.608695652
mat_edu_cat,Bachelor's degree,30,26.08695652
mat_edu_cat,Doctorate or professional degree,23,20
mat_edu_cat,Master's degree,41,35.65217391
mat_edu_cat,No College Degree,21,18.26086957
numm_household,2,54,46.95652174
numm_household,3,39,33.91304348
numm_household,4,15,13.04347826
numm_household,5,6,5.217391304
numm_household,6,1,0.869565217
pa_cat,0 times per week,12,10.43478261
pa_cat,1-2 times per week,36,31.30434783
pa_cat,3-4 times per week,47,40.86956522
pa_cat,5-7 times per week,20,17.39130435
parity,0,56,48.69565217
parity,1,42,36.52173913
parity,2,13,11.30434783
parity,3,3,2.608695652
parity,5,1,0.869565217
smoke_secondhand_cat,No,111,96.52173913
smoke_secondhand_cat,Yes,4,3.47826087
smoking_status,No,115,100
,,,
Variable,mean,sd,n
puq.1,1.403508772,1.380773787,115
ga.weeks.enroll,20.33043478,6.462743075,115
expected.gwg.x,24.93043478,8.630547277,115
mat.age,31.64035088,4.011327309,115
weight.kg,72.10521249,16.96380306,115
BMI,26.9299996,6.395962415,115
pss.total.3,3.904347826,2.916901483,115
puq.total.3,1.008849558,1.466869694,115
GWG,31.15021196,13.78598887,115
ede.qs.total.3,3.295652174,4.380927389,115